Code;Brand;Name;Address;Zip;City;Latitude;Longitude;Visa;Mastercard;Amex;Dinersclub;Eurotrafic;GR Actys Eurotrafic;GR Netherlands;Jubileo;Bank Card;DKV;UTA;Carte Club TOTAL;Super Ethanol e85;sp95;sp95 performance;sp95 e10;Optane Evolution 95;sp98;sp98 performance;Excellium 98;Optane Evolution 98;Gasoil;Diesel Excelan;Excellium diesel;Diesel Evolution;Lpg;AdBlue;GNR;AVGAS 100 LL;Gas Bottled;Fuel Automate;Shop;Coffee Corner;Bakerie;Sandwitcherie;BDGrill;Crocade;Baby Kit;Car Wash;Car Wash HP;Car Maintenance;Tyre Center;Truck Station;Vacuum;Diesel Premier;Gasoil Performance;Total Fioul Premier;Highway;FreeWifi;Car Wash Lotus;Car Wash Osmos;Tyre Pressure
NF000248;TOTAL Access;RELAIS BEAUCAIRE;16  AVENUE DE FARCIENNES;30300;BEAUCAIRE;43.811695;4.634615;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;yes
NF001305;TOTAL Access;RELAIS BAYONNE GUYENNE;6 AVENUE LOUIS DE FOIX;64100;BAYONNE;43.504922;-1.467008;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;yes;no;yes;yes;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;yes
NF001855;TOTAL;RELAIS BOULOGNE SUR MER DAUNOU;2 BOULEVARD DAUNOU;62200;BOULOGNE SUR MER;50.718901;1.609286;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;yes;no;yes;yes;no;no;no;no;yes;yes;no;no
NF000337;TOTAL Access;RELAIS RENNES HIPPODROME;254  ROUTE DE FOUGERES;35000;RENNES;48.1278;-1.64937;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;no;no;no;yes;yes;no;no;yes;yes;no;no;no;yes;no;yes;no;no;yes;no;no;no;no;yes;yes;no;yes
NF001231;TOTAL Access;RELAIS CHAMPENOISE;252 BIS  AVENUE JEAN JAURES;51100;REIMS;49.2646;4.05954;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;no
NF000521;TOTAL Access;RELAIS VANNES LA PAIX;BOULEVARD DE LA PAIX;56000;VANNES;47.661447;-2.758229;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;yes;no;no;no;no;yes;yes;no;yes
NF001719;TOTAL Access;RELAIS MORET SUR LOING 1;RD 606;77250;ECUELLES;48.364105;2.853291;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;yes;yes;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;no;no;yes
NF000807;TOTAL;RELAIS COGNAC CORDERIE;43 ALLEE DE LA CORDERIE;16100;COGNAC;45.692637;-0.32824;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;yes;yes;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;no;no;yes
NF001730;TOTAL Access;RELAIS APPOIGNY;29 ROUTE DE PARIS;89380;APPOIGNY;47.88097;3.52822;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;yes;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;yes;no;no;no
NF001167;TOTAL;SARL LE RELAIS DU PONTET;RN 137;33390;LE PONTET D'EYRANS;45.190872;-0.600401;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no
NF006745;TOTAL;RELAIS LA COMTADINE;AV DU MAL DE LATTRE DE TASSIGNY 1023;84100;ORANGE;44.151053;4.802716;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;yes;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;no
